Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Scaffold_V1_1\Project Outputs for Scaffold\Pick Place\Pick Place for Scaffold(Resistors DUT to platform not mounted).csv

========================================================================================================================
File Design Information:

Date:       26/06/19
Time:       10:12
Revision:   Not in VersionControl
Variant:    Resistors DUT to platform not mounted
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D200","BAT60J","TopLayer","SOD323/A","60.6000","117.3000","360","BAT60J"
"CN100","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","6.0470","62.0100","270","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN306","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","173.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN305","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","157.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN304","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","141.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN303","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","125.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN302","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","109.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN301","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","93.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN312","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","38.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN311","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","22.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN310","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","70.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN309","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","54.0000","6.0470","0","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN300","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","6.0470","37.0500","270","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN205","SMA - Female","TopLayer","SAMTEC_SMA-J-P-X-ST-EM3","188.9530","37.0500","90","Connector - SMA - Female - Horizontal - Mid Mount - Samtec - SMA–J–P–H–ST–EM3"
"CN206","Male","TopLayer","MOLEX_90120-0123","73.6000","130.7400","270","Connector - Header - 3-Pin - single row - Male - Molex_90120-0123"
"CN204","Male","TopLayer","WURTH_691213710002","71.1000","145.8500","180","Connector - Wire to Board Terminal Block - 2-Positions - Wurth - 691213710002"
"CN203","Male","TopLayer","MOLEX_90120-0123","29.0900","143.5000","180","Connector - Header - 3-Pin - single row - Male - Molex_90120-0123"
"CN202","Male","TopLayer","WURTH_691213710002","40.1000","145.8500","180","Connector - Wire to Board Terminal Block - 2-Positions - Wurth - 691213710002"
"CN201","Male","TopLayer","MOLEX_90120-0123","58.1000","130.6000","270","Connector - Header - 3-Pin - single row - Male - Molex_90120-0123"
"CN200","Male","TopLayer","WURTH_691213710002","55.6000","145.8500","180","Connector - Wire to Board Terminal Block - 2-Positions - Wurth - 691213710002"
"C401","100nF","TopLayer","CAP0603","74.8920","43.8000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C400","1uF","TopLayer","CAP0603","76.1920","43.8000","90","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C212","1uF","TopLayer","CAP0603","80.2500","43.8000","270","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C211","1uF","TopLayer","CAP0603","86.9250","45.1000","180","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C136","100nF","TopLayer","CAP0603","33.5500","63.4000","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C145","10pF","BottomLayer","CAP0603","6.3000","73.3500","360","Capacitor 0603 -  10pF - 100V - COG - 5%"
"C144","10pF","BottomLayer","CAP0603","10.0500","69.4000","90","Capacitor 0603 -  10pF - 100V - COG - 5%"
"C143","10pF","BottomLayer","CAP0603","10.8500","78.2750","360","Capacitor 0603 -  10pF - 100V - COG - 5%"
"C146","10pF","TopLayer","CAP0603","23.0000","74.1500","90","Capacitor 0603 -  10pF - 100V - COG - 5%"
"C203","10uF","TopLayer","CAP0603","43.9000","127.2000","90","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C210","10uF","TopLayer","CAP0603","76.8469","123.7500","360","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C202","10uF","TopLayer","CAP0603","58.9000","122.4000","360","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C220","1uF","TopLayer","CAP0603","31.5000","87.8500","360","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C219","1uF","TopLayer","CAP0603","32.6750","93.7000","180","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C218","10uF","TopLayer","CAP0603","69.3250","94.8750","180","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C217","10uF","TopLayer","CAP0603","65.5750","95.0750","360","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C216","1uF","TopLayer","CAP0603","61.2500","90.0500","360","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C215","1uF","TopLayer","CAP0603","62.4000","96.1250","180","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C214","1uF","TopLayer","CAP0603","48.0250","90.7000","270","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C213","1uF","TopLayer","CAP0603","53.7500","89.5500","90","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C209","10uF","TopLayer","CAP0603","64.0500","127.7500","360","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C208","10uF","TopLayer","CAP0603","61.5000","127.8250","360","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C207","1uF","TopLayer","CAP0603","160.3350","33.1500","270","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C206","1uF","TopLayer","CAP0603","157.0000","34.0000","180","Capacitor 0603 - 1uF - 16V - X7R - 10%"
"C205","100nF","TopLayer","CAP0603","166.7350","31.9500","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C204","10uF","TopLayer","CAP0603","165.4350","31.9500","270","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C201","10uF","TopLayer","CAP0603","49.4250","128.0000","180","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C200","10uF","TopLayer","CAP0603","46.2500","127.1750","90","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C154","100nF","TopLayer","CAP0603","21.9500","78.6000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C153","100nF","TopLayer","CAP0603","32.6500","80.4000","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C151","100nF","TopLayer","CAP0603","32.6500","81.7000","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C133","100nF","BottomLayer","CAP0603","56.5000","80.2000","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C132","100nF","BottomLayer","CAP0603","59.2000","80.2000","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C129","100nF","BottomLayer","CAP0603","68.0000","68.6000","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C128","100nF","BottomLayer","CAP0603","68.5969","61.4000","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C127","100nF","BottomLayer","CAP0603","48.3000","80.2000","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C126","100nF","BottomLayer","CAP0603","52.8000","80.2000","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C125","100nF","BottomLayer","CAP0603","50.7500","52.1500","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C124","100nF","BottomLayer","CAP0603","47.4000","52.1500","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C123","100nF","BottomLayer","CAP0603","47.5000","63.2000","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C122","100nF","BottomLayer","CAP0603","47.6000","66.9500","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C137","10uF","TopLayer","CAP0603","72.4500","65.1000","270","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C115","100nF","BottomLayer","CAP0603","48.7000","73.4000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C114","100nF","BottomLayer","CAP0603","50.8000","73.4000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C113","100nF","BottomLayer","CAP0603","55.7000","73.4000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C112","100nF","BottomLayer","CAP0603","59.7000","73.4031","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C111","100nF","BottomLayer","CAP0603","61.6000","71.9000","0","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C110","100nF","BottomLayer","CAP0603","61.6000","63.0000","0","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C109","100nF","BottomLayer","CAP0603","61.7000","59.9000","0","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C108","100nF","BottomLayer","CAP0603","61.7000","58.7000","360","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C107","100nF","BottomLayer","CAP0603","57.7500","59.3000","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C106","100nF","BottomLayer","CAP0603","50.5000","59.1000","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C105","100nF","BottomLayer","CAP0603","48.0000","56.2000","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C104","100nF","BottomLayer","CAP0603","47.4250","58.9250","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C103","100nF","BottomLayer","CAP0603","47.4000","60.9500","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C102","100nF","BottomLayer","CAP0603","46.3000","71.7250","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C135","100nF","BottomLayer","CAP0603","68.4000","74.6000","180","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C134","100nF","BottomLayer","CAP0603","62.1250","76.8000","360","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C131","100nF","BottomLayer","CAP0603","58.2500","52.2000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C130","100nF","BottomLayer","CAP0603","55.2500","52.2000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C121","100nF","TopLayer","CAP0603","66.2250","55.8250","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C120","100nF","TopLayer","CAP0603","67.9750","57.8500","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C119","100nF","TopLayer","CAP0603","41.4000","57.3000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C118","100nF","TopLayer","CAP0603","45.1500","53.4000","360","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C117","100nF","TopLayer","CAP0603","40.7000","73.9000","0","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C116","100nF","TopLayer","CAP0603","40.9000","76.0000","360","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C101","10uF","TopLayer","CAP0603","39.1000","77.7500","90","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"C100","10uF","BottomLayer","CAP0603","68.6750","77.5750","180","Capacitor 0603 - 10uF - 16V - X5R - 20%"
"THP203","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0","TopLayer","MILLMAX_6821-0-00-15-00-00-08-0","65.9750","90.9000","180","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0"
"D422","LED Yellow","TopLayer","KINGBRIGHT_AA3528","56.2714","35.9250","270","Opto - DEL - Yellow 590nm - 2mA -30 mcd"
"D423","LED Yellow","TopLayer","KINGBRIGHT_AA3528","59.6500","35.9250","270","Opto - DEL - Yellow 590nm - 2mA -30 mcd"
"THP208","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0","TopLayer","MILLMAX_6821-0-00-15-00-00-08-0","35.5000","111.7000","270","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0"
"THP209","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0","TopLayer","MILLMAX_6821-0-00-15-00-00-08-0","34.0250","48.7250","270","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0"
"THP210","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0","TopLayer","MILLMAX_6821-0-00-15-00-00-08-0","81.4997","12.7003","270","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0"
